Order,State,Democrat,Republican,Returns,Outcome
199,Maine District 2,Golden 45.8,Poliquin 46.1,-79%,
201,Maryland District 1,Colvin 37.6,Harris 60.6,-100%,GOP Hold
202,Maryland District 2,Ruppersberger 65.8,Matory 31.1,-100%,Dem Hold
203,Maryland District 3,Sarbanes 68.6,Anthony 28.8,-100%,Dem Hold
204,Maryland District 4,Brown 77.9,McDermott 20.2,-100%,Dem Hold
205,Maryland District 5,Hoyer 70.2,Devine 27.4,-100%,Dem Hold
206,Maryland District 6,Trone 57.7,Hoeber 39.4,-100%,Dem Hold
207,Maryland District 7,Cummings 76.0,Davis 21.7,-99%,Dem Hold
208,Maryland District 8,Raskin 66.9,Walsh 31.6,-100%,Dem Hold
210,Massachusetts District 1,Neal 0.0,,0%,Dem Hold
211,Massachusetts District 2,McGovern 67.9,Lovvorn 32.1,-87%,Dem Hold
212,Massachusetts District 3,Trahan 61.0,Green 34.4,-85%,Dem Hold
213,Massachusetts District 4,Kennedy 0.0,,0%,Dem Hold
214,Massachusetts District 5,Clark 76.3,Hugo 23.7,-91%,Dem Hold
215,Massachusetts District 6,Moulton 65.7,Schneider 30.9,-86%,Dem Hold
216,Massachusetts District 7,Pressley 0.0,,0%,Dem Hold
217,Massachusetts District 8,Lynch 0.0,,0%,Dem Hold
218,Massachusetts District 9,Keating 59.6,Tedeschi 40.4,-86%,Dem Hold
220,Michigan District 1,Morgan 43.7,Bergman 56.3,-100%,GOP Hold
221,Michigan District 2,Davidson 43.0,Huizenga 55.3,-100%,GOP Hold
222,Michigan District 3,Albro 42.5,Amash 55.1,-100%,GOP Hold
223,Michigan District 4,Hilliard 37.4,Moolenaar 62.6,-100%,GOP Hold
224,Michigan District 5,Kildee 59.5,Wines 35.9,-100%,Dem Hold
225,Michigan District 6,Longjohn 45.7,Upton 50.2,-100%,GOP Hold
226,Michigan District 7,Driskell 46.2,Walberg 53.8,-100%,GOP Hold
227,Michigan District 8,Slotkin 50.6,Bishop 46.8,-100%,Dem Pickup
228,Michigan District 9,Levin 59.6,Stearns 36.8,-100%,Dem Hold
229,Michigan District 10,Bizon 35.0,Mitchell 60.3,-100%,GOP Hold
230,Michigan District 11,Stevens 52.1,Epstein 44.9,-100%,Dem Pickup
231,Michigan District 12,Dingell 69.2,Jones 27.9,-88%,Dem Hold
232,Michigan District 13,Tlaib 88.7,,-74%,Dem Hold
233,Michigan District 14,Lawrence 82.8,Herschfus 15.4,-95%,Dem Hold
235,Minnesota District 1,Feehan 49.8,Hagedorn 50.2,-100%,
236,Minnesota District 2,Craig 52.8,Lewis 47.2,-100%,Dem Pickup
237,Minnesota District 3,Phillips 55.7,Paulsen 44.3,-100%,Dem Pickup
238,Minnesota District 4,McCollum 66.0,Ryan 29.8,-100%,Dem Hold
239,Minnesota District 5,Omar 78.2,Zielinski 21.8,-100%,Dem Hold
240,Minnesota District 6,Todd 38.8,Emmer 61.2,-100%,GOP Hold
241,Minnesota District 7,Peterson 52.1,Hughes 47.9,-100%,Dem Hold
242,Minnesota District 8,Radinovich 45.2,Stauber 50.7,-100%,GOP Pickup
244,Mississippi District 1,Wadkins 32.3,Kelly 67.0,-99%,GOP Hold
245,Mississippi District 2,Thompson 71.9,,-98%,Dem Hold
246,Mississippi District 3,Evans 36.3,Guest 62.7,-100%,GOP Hold
247,Mississippi District 4,Anderson 29.5,Palazzo 69.5,-85%,GOP Hold
249,Missouri District 1,Clay 80.1,Vroman 16.7,-100%,Dem Hold
250,Missouri District 2,VanOstran 47.1,Wagner 51.3,-100%,GOP Hold
251,Missouri District 3,Geppert 32.8,Luetkemeyer 65.1,-100%,GOP Hold
252,Missouri District 4,Hoagenson 32.8,Hartzler 64.7,-100%,GOP Hold
253,Missouri District 5,Cleaver 61.6,Turk 35.7,-100%,Dem Hold
254,Missouri District 6,Martin 32.0,Graves 65.4,-100%,GOP Hold
255,Missouri District 7,Schoolcraft 30.0,Long 66.3,-100%,GOP Hold
256,Missouri District 8,Ellis 25.0,Smith 73.4,-100%,GOP Hold
258,Montana District 1,Williams 44.6,Gianforte 52.6,-88%,
260,Nebraska District 1,McClure 39.7,Fortenberry 60.3,-96%,GOP Hold
261,Nebraska District 2,Eastman 48.4,Bacon 51.6,-98%,GOP Hold
262,Nebraska District 3,Theobald 23.3,Smith 76.7,-100%,GOP Hold
264,Nevada District 1,Titus 66.2,Bentley 30.8,-100%,Dem Hold
265,Nevada District 2,Koble 41.8,Amodei 58.2,-90%,GOP Hold
266,Nevada District 3,Lee 51.9,Tarkanian 42.8,-100%,Dem Hold
267,Nevada District 4,Horsford 52.0,Hardy 43.7,-100%,Dem Hold
269,New Hampshire District 1,Pappas 53.7,Edwards 44.9,-97%,Dem Hold
270,New Hampshire District 2,McLane Kuster 55.9,Negron 41.9,-94%,Dem Hold
272,New Jersey District 1,Norcross 63.4,Dilks 34.2,-100%,Dem Hold
273,New Jersey District 2,Van Drew 52.0,Grossman 46.2,-100%,Dem Pickup
