Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bosnia and Herzegovina,BIH,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8472277,91.87961266,107.5000435,100.6309648,125.6666091,121.8206294,104.1906109,104.3189499,95.27676951,113.4578465,109.7401313,103.2447734,98.0289378,83.5642765,86.21378262,73.80282945,81.02718514,87.90885166,88.07555667,87.84645451,90.80283515,,
Belarus,BLR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6073903,70.26406429,117.1227691,151.0037348,155.3745251,103.718866,96.77485102,125.5161995,122.9577514,120.8351265,141.609166,137.0449305,131.0020583,134.1418523,142.1365104,118.8843517,124.2951039,128.153878,129.5994785,112.3103385,120.1393394,163.336841,158.0676546,123.798899,114.5903063,119.180657,
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,123.9537869,128.745464,118.5495119,114.0740741,132.5983879,109.7776715,113.6493307,123.0518894,129.8666243,128.8723668,122.2854376,119.1196948,102.6387337,96.87520904,102.2701109,97.07201788,100.2693005,108.4864561,109.5091681,122.4112529,126.6416164,119.9675728,118.6904514,119.1245519,109.0750106,117.3553923,122.785674,122.3099424,132.0242179,107.8472143,115.6843276,123.2227849,125.3947756,127.052817,125.5998045,,
Bermuda,BMU,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.99970619,77.26918707,76.48018627,75.41665184,77.26078321,,,
Bolivia,BOL,Trade (% of GDP),NE.TRD.GNFS.ZS,32.61218019,31.34431402,32.4062564,34.72564495,34.92874305,37.04585429,38.10572447,39.60048361,49.08575694,49.73980627,48.9490235,45.79683418,45.13157895,56.03212915,62.09013468,58.15495241,57.56095776,56.42061907,52.70338555,51.57077929,46.81300675,46.21977174,58.46826125,52.35582154,49.47473375,41.89276456,47.03136192,43.6226593,41.90625145,45.65467871,46.70327322,48.4449665,49.11085697,47.4671275,48.86085141,49.7379857,49.85629111,50.46966341,52.28116177,44.16825464,45.59777511,45.22782135,49.35026047,51.96783514,57.46426632,67.64194249,74.53784911,76.06191165,82.8670212,68.62707452,75.51162654,82.48039513,84.94876125,81.23090732,85.26446981,,
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,14.17633202,14.61886702,9.057734119,18.14745427,12.06300928,13.29168623,12.81640431,11.53794213,12.61091042,13.17411689,14.4791955,14.55128018,16.10325126,17.77325882,21.89684749,19.04415313,16.46833138,15.17011611,14.53997323,16.29947274,20.35856053,19.2198034,15.88416173,20.43016279,21.47197221,19.34327423,15.17116523,15.65260586,16.58075476,14.39087766,15.16175556,16.59091663,19.25334358,19.59931629,19.33290546,16.63266226,15.63556214,16.57618143,16.43865273,20.98213588,22.63977857,26.93630126,27.61837145,28.14044172,29.6782531,27.08676559,26.04166926,25.29255443,27.25761085,22.10597533,22.51740161,23.7164177,24.81087877,25.6347886,25.10745853,27.3674143,
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,112.1316306,101.2940651,102.7338744,110.4183427,110.0036914,101.2345679,87.50401542,72.19953326,76.57707076,79.38042131,79.51569064,75.59055118,76.82677568,80.96385542,83.40651722,90.06593407,91.56874871,93.87556076,86.29994811,86.4311654,88.78744193,84.64623777,81.8110112,88.30534351,90.21197894,95.66388711,94.58580225,93.70875495,98.45484222,85.84311169,96.60330671,91.4639743,89.91421284,87.1058164,84.86623034,81.20647046,
Brunei Darussalam,BRN,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,107.4076905,113.4854173,111.9137681,110.7220592,109.485414,109.1994555,105.0257732,106.8567402,106.569503,107.2514433,,,,,,97.01921056,99.07538003,106.8491009,105.7813646,106.5269822,99.48742592,115.5439642,120.5739637,115.6796683,107.8761062,104.2195716,103.1716255,108.7188707,108.7479691,105.2584676,100.5895707,97.45761662,96.94114936,95.75046726,105.9138441,108.5726365,114.3114309,108.2129807,112.5446658,108.6413629,106.6423337,,
Bhutan,BTN,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,51.3479722,63.47852371,61.39388586,57.83123597,58.06120216,66.13058396,70.05223664,61.63850144,77.18904377,66.01540588,57.48298356,72.28102977,87.89033266,75.66203313,68.95478401,80.3984622,81.15644934,82.02069344,82.51759968,81.81567376,82.46935577,75.83389109,69.55953624,70.35780912,89.37025959,101.8153754,129.6295407,83.25673082,107.0257928,106.906127,113.1839938,111.6915833,101.7639272,102.7354752,93.62261995,115.9959088,
Botswana,BWA,Trade (% of GDP),NE.TRD.GNFS.ZS,65.91957811,69.74182766,72.76503188,76.3398002,77.38771244,82.31707317,80.21680217,75.38734111,86,75.33753375,85.56925308,94.71365639,97.91502754,100.7966952,105.6984852,107.3862555,116.7078825,120.2103879,120.5849269,119.3729422,119.5015463,121.2353923,123.8361801,124.6490648,118.7734707,117.5228082,117.4595896,123.5717533,114.4515902,105.3608646,104.8473204,99.55838535,89.75125459,86.20820501,88.18060973,94.59517165,90.95557528,108.6044152,101.8410393,98.9290812,91.92472969,87.52506557,91.83577406,85.83404252,90.99782289,88.50535206,86.33458892,95.1046388,96.71591034,86.68605743,94.8997394,101.3604377,108.6517838,123.7871146,117.5136524,99.23198437,
Central African Republic,CAF,Trade (% of GDP),NE.TRD.GNFS.ZS,57.45453674,62.2516546,62.29507257,63.72239745,69.25285968,64.76964499,70.87628866,73.20096774,73.94352311,64.93312236,73.5008478,67.22269528,58.74788774,65.10492521,71.07293707,61.05031664,51.51347707,59.52930382,57.3060779,57.56550683,66.30232808,58.44319389,56.40225873,60.76526042,58.89567164,53.6444942,46.80905809,46.39443456,42.79863463,46.76704756,42.94298352,43.70932169,43.22907608,39.98862202,48.41803223,50.47589112,47.08440503,55.81850836,51.04953188,43.2123439,45.65978199,39.73049974,36.10856478,36.231226,33.24395492,34.73488507,36.39584972,37.56851308,34.43755146,33.92009689,38.31706352,33.2831784,33.20966563,34.82358169,31.23546079,39.53387934,
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,35.10161493,35.80468206,35.57546192,35.70254656,37.34214148,37.18922883,38.64337337,39.52099659,41.17989796,42.3883808,41.30282892,40.47707641,41.6431738,44.11042669,47.97093931,45.74573853,44.1653433,45.66843383,48.79181281,52.20502423,53.29608826,52.11469788,46.60252913,46.68982656,52.47488827,52.86211916,53.08246735,50.86986778,51.36314644,50.04932544,49.96702727,49.20207707,52.71745582,58.24487516,64.39828906,69.09742537,70.29951355,74.38505502,78.15885074,80.19395573,82.85772601,78.40632001,75.73269035,69.84343945,70.18054685,69.70984342,67.98118492,66.19204439,66.92423059,58.3482469,60.06072927,62.32862239,62.39713673,62.14508774,64.25622756,65.38001541,
Central Europe and the Baltics,CEB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.44212407,55.7463057,63.87154935,58.86025348,58.8078016,68.08497239,70.43992737,74.69933226,74.83218115,74.84403918,83.84901002,84.34004997,83.18758992,87.17754667,94.25363395,96.80083514,104.8109037,106.7996744,105.5891262,94.42090833,105.7983561,114.6822409,118.3152641,119.7862304,122.8280024,119.0879721,
Switzerland,CHE,Trade (% of GDP),NE.TRD.GNFS.ZS,54.51582506,55.8302884,55.71547345,54.90175299,54.87153627,54.52772844,54.90435454,54.01913197,56.24126204,60.04821092,,,,,,,,,,,85.45793783,84.83917339,79.8389844,80.50134248,84.6561403,87.22877133,82.1430976,80.61329506,82.69432087,87.04004236,82.36914522,79.08891082,78.60571261,77.78678787,77.61980996,77.30435084,79.82497375,89.3505208,88.88646926,90.09763483,98.24867494,96.16503363,91.24119314,89.76370039,94.14259118,100.6150981,104.9386362,111.8949761,115.3650963,107.32209,117.7715429,123.0764293,124.1797607,132.4944159,117.3053793,114.614502,
Channel Islands,CHI,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Trade (% of GDP),NE.TRD.GNFS.ZS,29.17545671,28.09665248,25.54669937,26.75913434,25.9615028,26.16431188,28.50796001,27.39726027,27.13257965,30.64264435,28.63349131,23.05276863,23.05643416,29.12191341,40.08820904,52.84820433,45.92081815,43.0437604,44.50862148,49.38460279,49.79782828,43.17142212,40.62205705,45.32737246,49.57656817,53.86045686,55.12008772,57.34803796,61.50102613,66.04017533,64.53570382,60.16668333,57.98095265,55.2420434,54.81211992,56.4054266,56.24194853,56.28683548,55.86589284,56.92378285,57.86519771,61.41428034,61.93707133,65.12237565,68.25881398,69.96738896,71.94475384,75.78787272,81.04138126,66.76844974,69.72929838,72.94719996,68.81272238,65.37005722,65.94390002,60.37908215,
