Folder Name,Views and Downloads,Minutes Delivered,Average Minutes Delivered,Percent Completed,Last View Time,Last Position
Lecture3,1,4.164754367,4.164754367,99,10/4/20 1:48,236.539926
Lecture3,1,7.2521916,7.2521916,95,10/4/20 1:59,489.759102
Lecture3,1,4.583248333,4.583248333,100,10/4/20 2:02,269.953687
Lecture3,1,1.827401783,1.827401783,100,10/4/20 2:21,86.74639
Lecture3,1,32.44834255,32.44834255,100,10/4/20 3:05,1880.903888
Lecture4,1,16.89909527,16.89909527,100,10/6/20 21:45,1000.188571
Lecture4,2,9.43506305,4.717531525,99,10/6/20 22:39,452.400778
Lecture4,2,27.06639648,13.53319824,100,10/6/20 23:29,1462.921222
Lecture4,2,27.33207992,13.66603996,100,10/7/20 1:10,1571.844401
Lecture4,1,8.178978217,8.178978217,100,10/7/20 1:25,491.384862
Background,2,7.110173567,3.555086783,100,10/2/20 19:35,213.514958
Background,2,29.79558763,14.89779382,100,10/2/20 19:54,855.073178
Lecture2,1,0.20533915,0.20533915,2,10/2/20 12:13,115.139707
Lecture1,3,20.95840382,6.986134606,100,9/28/20 20:04,1.477342
Lecture1,2,12.12166892,6.060834458,100,9/28/20 20:07,10.397884
Lecture1,1,7.547843733,7.547843733,100,9/28/20 14:32,404.747065
Lecture1,1,13.78694887,13.78694887,97,9/28/20 14:58,869.656937
Lecture1,1,9.2046299,9.2046299,97,9/28/20 15:09,307.030734
Lecture2,2,19.71155852,9.855779258,79,10/2/20 13:41,747.202054
Lecture2,1,1.768528733,1.768528733,17,9/30/20 21:33,564.194297
Lecture2,1,8.861478067,8.861478067,100,9/30/20 20:42,532.634983
Lecture3,6,20.69058533,3.448430889,97,10/5/20 14:08,711.409086
Lecture3,3,29.7467856,9.9155952,100,10/5/20 12:23,1666.466562
Lecture3,7,36.4834803,5.211925757,100,10/5/20 13:54,262.091388
Lecture3,3,5.050633983,1.683544661,100,10/5/20 12:49,206.878474
Lecture3,3,8.405252233,2.801750744,100,10/5/20 13:25,331.633352
Lecture3,4,5.9604077,1.490101925,100,10/5/20 14:35,214.042791
Lecture3,5,2.8738614,0.57477228,100,10/6/20 11:56,87.148202
Lecture3,4,33.78180368,8.445450921,100,10/5/20 18:27,1276.662261
Lecture4,2,18.78871903,9.394359517,100,10/7/20 13:33,1002.979019
Lecture4,3,11.86003392,3.953344639,100,10/7/20 14:01,435.944773
Lecture4,2,29.50788583,14.75394292,100,10/7/20 14:43,1462.864202
Lecture4,5,33.47189295,6.69437859,100,10/7/20 16:40,1571.740388
Lecture4,3,9.134788467,3.044929489,100,10/7/20 16:54,491.241336
Lecture5,1,0.070375467,0.070375467,1,10/11/20 1:14,4.222528
